Epoch: 122, Loss: 6.0331, Acc: 0.1471, Top-5: 0.3357, Masked-5: 0.4103, Top-10: 0.4189, Masked-10: 0.5808
Epoch: 123, Loss: 5.9727, Acc: 0.1519, Top-5: 0.3440, Masked-5: 0.4106, Top-10: 0.4293, Masked-10: 0.5810
Epoch: 124, Loss: 6.0040, Acc: 0.1533, Top-5: 0.3417, Masked-5: 0.4110, Top-10: 0.4235, Masked-10: 0.5812
Epoch: 125, Loss: 5.9764, Acc: 0.1510, Top-5: 0.3459, Masked-5: 0.4114, Top-10: 0.4300, Masked-10: 0.5815
Epoch: 126, Loss: 6.0211, Acc: 0.1476, Top-5: 0.3363, Masked-5: 0.4116, Top-10: 0.4226, Masked-10: 0.5817
Epoch: 127, Loss: 5.9601, Acc: 0.1545, Top-5: 0.3505, Masked-5: 0.4119, Top-10: 0.4317, Masked-10: 0.5819
Epoch: 128, Loss: 5.9828, Acc: 0.1531, Top-5: 0.3471, Masked-5: 0.4123, Top-10: 0.4289, Masked-10: 0.5821
Epoch: 129, Loss: 5.9922, Acc: 0.1518, Top-5: 0.3450, Masked-5: 0.4126, Top-10: 0.4286, Masked-10: 0.5823
Epoch: 130, Loss: 5.9689, Acc: 0.1526, Top-5: 0.3471, Masked-5: 0.4129, Top-10: 0.4289, Masked-10: 0.5825
Epoch: 131, Loss: 5.9754, Acc: 0.1539, Top-5: 0.3483, Masked-5: 0.4132, Top-10: 0.4317, Masked-10: 0.5826
Epoch: 132, Loss: 5.9717, Acc: 0.1556, Top-5: 0.3467, Masked-5: 0.4135, Top-10: 0.4291, Masked-10: 0.5829
Epoch: 133, Loss: 5.9649, Acc: 0.1538, Top-5: 0.3483, Masked-5: 0.4138, Top-10: 0.4289, Masked-10: 0.5830
Epoch: 134, Loss: 5.9536, Acc: 0.1584, Top-5: 0.3523, Masked-5: 0.4142, Top-10: 0.4329, Masked-10: 0.5833
Epoch: 135, Loss: 5.9581, Acc: 0.1573, Top-5: 0.3501, Masked-5: 0.4145, Top-10: 0.4350, Masked-10: 0.5835
Epoch: 136, Loss: 5.9733, Acc: 0.1547, Top-5: 0.3484, Masked-5: 0.4148, Top-10: 0.4291, Masked-10: 0.5838
Epoch: 137, Loss: 5.9536, Acc: 0.1556, Top-5: 0.3512, Masked-5: 0.4151, Top-10: 0.4340, Masked-10: 0.5840
Epoch: 138, Loss: 5.9700, Acc: 0.1555, Top-5: 0.3484, Masked-5: 0.4154, Top-10: 0.4310, Masked-10: 0.5842
Epoch: 139, Loss: 5.9776, Acc: 0.1541, Top-5: 0.3459, Masked-5: 0.4156, Top-10: 0.4305, Masked-10: 0.5844
